Arrests by Offense,Virginia Beach,
,Adult,Juvenile
Murder,13,2
Manslaughter,0,0
Kidnaping,49,2
"Sex Offenses, Forcible",66,22
Robbery,102,71
Aggravated Assault,119,34
Simple Assault/Intimidation,3079,757
Arson,6,23
Extortion/Blackmail,4,16
Burglary,175,109
Larceny,1057,537
Motor Vehicle Theft,25,17
Counterfeiting/Forgery,115,7
Fraud,194,11
Embezzlement,81,0
Stolen Property,44,13
Vandalism,245,172
Drug/Narcotic Offenses,2192,394
"Sex Offenses, Nonforcible",7,1
Pornography,6,1
Gambling,0,0
Prostitution,83,0
Bribery,2,0
Weapon Law Violations,232,77
TOTAL GROUP A,7896,2266
Bad Checks,62,0
Curfew/Loitering/Vagrancy,36,915
Disorderly Conduct,936,182
Driving Under Influence,2158,11
Drunkenness,3960,25
"Family Offenses, Nonforcible",51,0
Liquor Laws Violations,1072,320
Peeping Tom,7,1
Runaway,0,9
Trespass of Real Property,595,160
Conspiracy,0,0
All Other (except Traffic),9329,504
TOTAL GROUP B,18206,2127
GRAND TOTAL,26102,4393
