Arrests by Offense,Henrico,
,Adult,Juvenile
Murder,6,1
Manslaughter,1,0
Kidnaping,16,4
"Sex Offenses, Forcible",16,0
Robbery,91,32
Aggravated Assault,166,39
Simple Assault/Intimidation,1297,366
Arson,2,52
Extortion/Blackmail,0,0
Burglary,133,96
Larceny,1290,424
Motor Vehicle Theft,22,5
Counterfeiting/Forgery,55,0
Fraud,112,5
Embezzlement,47,1
Stolen Property,19,4
Vandalism,97,123
Drug/Narcotic Offenses,917,116
"Sex Offenses, Nonforcible",3,0
Pornography,1,0
Gambling,1,0
Prostitution,15,0
Bribery,0,0
Weapon Law Violations,163,27
TOTAL GROUP A,4470,1295
Bad Checks,30,0
Curfew/Loitering/Vagrancy,0,85
Disorderly Conduct,100,329
Driving Under Influence,772,11
Drunkenness,845,13
"Family Offenses, Nonforcible",19,0
Liquor Laws Violations,404,193
Peeping Tom,2,0
Runaway,0,543
Trespass of Real Property,333,116
Conspiracy,11,0
All Other (except Traffic),4933,329
TOTAL GROUP B,7449,1619
GRAND TOTAL,11919,2914
