Arrests by Offense,Washington,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",38,4
Robbery,10,1
Aggravated Assault,51,7
Simple Assault/Intimidation,286,29
Arson,2,0
Extortion/Blackmail,0,0
Burglary,33,0
Larceny,292,11
Motor Vehicle Theft,8,0
Counterfeiting/Forgery,138,0
Fraud,132,3
Embezzlement,27,0
Stolen Property,10,0
Vandalism,37,8
Drug/Narcotic Offenses,261,18
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,24,0
TOTAL GROUP A,1356,81
Bad Checks,135,0
Curfew/Loitering/Vagrancy,0,1
Disorderly Conduct,15,5
Driving Under Influence,136,1
Drunkenness,225,1
"Family Offenses, Nonforcible",9,0
Liquor Laws Violations,6,6
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,35,0
Conspiracy,0,0
All Other (except Traffic),545,167
TOTAL GROUP B,1106,182
GRAND TOTAL,2462,263
