Arrests by Offense,Hopewell,
,Adult,Juvenile
Murder,0,0
Manslaughter,1,0
Kidnaping,10,0
"Sex Offenses, Forcible",3,0
Robbery,18,1
Aggravated Assault,22,0
Simple Assault/Intimidation,257,1
Arson,1,0
Extortion/Blackmail,0,0
Burglary,19,0
Larceny,74,0
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,6,0
Fraud,8,0
Embezzlement,3,0
Stolen Property,6,0
Vandalism,30,0
Drug/Narcotic Offenses,159,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,25,4
TOTAL GROUP A,643,8
Bad Checks,27,0
Curfew/Loitering/Vagrancy,0,34
Disorderly Conduct,16,0
Driving Under Influence,39,0
Drunkenness,87,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,11,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,25,1
Conspiracy,0,0
All Other (except Traffic),193,4
TOTAL GROUP B,399,40
GRAND TOTAL,1042,48
