Arrests by Offense,Fairfax,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",0,0
Robbery,0,0
Aggravated Assault,1,0
Simple Assault/Intimidation,15,5
Arson,0,0
Extortion/Blackmail,0,0
Burglary,1,0
Larceny,8,0
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,1,0
Fraud,4,0
Embezzlement,0,0
Stolen Property,4,0
Vandalism,4,0
Drug/Narcotic Offenses,11,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,0,0
TOTAL GROUP A,50,7
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,5,1
Driving Under Influence,2,0
Drunkenness,19,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,3,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,4,0
Conspiracy,0,0
All Other (except Traffic),3,0
TOTAL GROUP B,38,3
GRAND TOTAL,88,10
