Arrests by Offense,Total County,
,Adult,Juvenile
Murder,87,9
Manslaughter,5,1
Kidnaping,392,27
"Sex Offenses, Forcible",562,152
Robbery,614,195
Aggravated Assault,2087,344
Simple Assault/Intimidation,16155,2827
Arson,105,148
Extortion/Blackmail,13,1
Burglary,1854,630
Larceny,9975,2430
Motor Vehicle Theft,457,115
Counterfeiting/Forgery,1408,26
Fraud,1984,61
Embezzlement,1065,76
Stolen Property,419,102
Vandalism,1898,1001
Drug/Narcotic Offenses,15153,1509
"Sex Offenses, Nonforcible",72,18
Pornography,75,3
Gambling,101,2
Prostitution,192,1
Bribery,4,0
Weapon Law Violations,1587,315
TOTAL GROUP A,56264,9993
Bad Checks,3707,3
Curfew/Loitering/Vagrancy,8,731
Disorderly Conduct,1875,1130
Driving Under Influence,16190,143
Drunkenness,11152,117
"Family Offenses, Nonforcible",547,13
Liquor Laws Violations,3047,1076
Peeping Tom,29,0
Runaway,0,3218
Trespass of Real Property,2426,477
Conspiracy,92,9
All Other (except Traffic),42768,3198
TOTAL GROUP B,81841,10115
GRAND TOTAL,138105,20108
