Arrests by Offense,Norfolk,
,Adult,Juvenile
Murder,16,2
Manslaughter,0,0
Kidnaping,41,3
"Sex Offenses, Forcible",70,8
Robbery,78,24
Aggravated Assault,102,13
Simple Assault/Intimidation,895,44
Arson,1,1
Extortion/Blackmail,0,0
Burglary,50,41
Larceny,705,84
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,42,2
Fraud,61,0
Embezzlement,26,0
Stolen Property,50,5
Vandalism,53,14
Drug/Narcotic Offenses,1143,32
"Sex Offenses, Nonforcible",2,0
Pornography,4,0
Gambling,12,0
Prostitution,82,0
Bribery,0,0
Weapon Law Violations,142,14
TOTAL GROUP A,3575,287
Bad Checks,90,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,713,106
Driving Under Influence,281,0
Drunkenness,1145,8
"Family Offenses, Nonforcible",121,1
Liquor Laws Violations,565,5
Peeping Tom,0,0
Runaway,0,78
Trespass of Real Property,890,93
Conspiracy,0,0
All Other (except Traffic),4027,2559
TOTAL GROUP B,7832,2850
GRAND TOTAL,11407,3137
