Arrests by Offense,Albemarle ,
,Adult,Juvenile
Murder,0,0
Manslaughter,1,0
Kidnaping,7,0
"Sex Offenses, Forcible",8,2
Robbery,10,2
Aggravated Assault,23,2
Simple Assault/Intimidation,304,20
Arson,7,0
Extortion/Blackmail,2,0
Burglary,31,3
Larceny,334,114
Motor Vehicle Theft,6,0
Counterfeiting/Forgery,22,0
Fraud,37,0
Embezzlement,37,4
Stolen Property,15,0
Vandalism,35,11
Drug/Narcotic Offenses,235,35
"Sex Offenses, Nonforcible",1,0
Pornography,4,0
Gambling,0,0
Prostitution,5,0
Bribery,0,0
Weapon Law Violations,18,7
TOTAL GROUP A,1142,200
Bad Checks,142,0
Curfew/Loitering/Vagrancy,0,2
Disorderly Conduct,26,11
Driving Under Influence,244,1
Drunkenness,196,0
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,118,66
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,42,4
Conspiracy,0,0
All Other (except Traffic),810,44
TOTAL GROUP B,1581,128
GRAND TOTAL,2723,328
