Arrests by Offense,Harrisonburg,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,10,0
"Sex Offenses, Forcible",6,0
Robbery,4,4
Aggravated Assault,34,1
Simple Assault/Intimidation,163,23
Arson,1,1
Extortion/Blackmail,0,0
Burglary,27,13
Larceny,138,13
Motor Vehicle Theft,2,8
Counterfeiting/Forgery,25,1
Fraud,31,0
Embezzlement,19,0
Stolen Property,9,3
Vandalism,29,15
Drug/Narcotic Offenses,264,9
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,20,3
TOTAL GROUP A,783,94
Bad Checks,88,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,60,1
Driving Under Influence,189,0
Drunkenness,469,3
"Family Offenses, Nonforcible",12,0
Liquor Laws Violations,336,7
Peeping Tom,3,0
Runaway,0,0
Trespass of Real Property,50,0
Conspiracy,3,0
All Other (except Traffic),1247,13
TOTAL GROUP B,2457,24
GRAND TOTAL,3240,118
