Race,Male 0 - 18,Male 19 - 35,Male 36+,Female 0 - 18,Female 19 - 35,Female 36+
White,512,849,256,203,210,78
Black,799,1000,293,94,143,55
Am. Ind./Alskn,1,4,0,0,0,0
Asian/Pacfc Isl.,7,6,0,3,4,0
Unknown,46,22,17,7,9,5
TOTAL,1365,1881,566,307,366,138
