Race,Victims Male,Victims Female,Offenders Male,Offenders Female
White,54021,40365,36911,13047
Black,15472,16735,27964,8088
American Ind/Alaskan,71,72,54,21
Asian/Pacific Isl,810,532,421,168
Unknown,2183,1696,2029,648
Total,72557,59400,67379,21972
