Time of Offense,Percentage of Robberies
6:00 a.m. - 11:59 a.m.,9.50%
Noon - 5:59 p.m.,17.70%
6:00 p.m. - 11:59 p.m.,45.40%
Midnight - 5:59 a.m.,25.90%
Unknown,1.40%
