Location,Number of Offenses
Air/Bus/Train Terminal,389
Bank/Savings & Loan,267
Bar/Night Club,342
Church/Synagogue/Temple,398
Commercial/Office Building,2984
Construction Site,1452
Convenience Store,5236
Department/Discount Store,6694
Drug Store/Dr Office/Hospital,1142
Field/Woods,599
Government/Public Building,761
Grocery/Supermarket,3586
Highway/Road/Alley,4255
Hotel/Motel/Etc.,1172
Jail/Penitentiary,16
Lake/Waterway,218
Liquor Store,39
Parking Lot/Garage,10067
Rental/Storage Facility,475
Residence/Home,33100
Restaurant,1826
School/College,3837
Service/Gas Station,4258
Specialty Store,2687
Other/Unknown,4673
Total,90473
