COUNTY POLICE & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Albemarle County PD ,81600,4338.23,3540,5,8,15,46,18,109,683,12,0,240,1601,61,45,109,57,2,945,360,6,3,1,0,0,69
State Police ,,,49,0,0,0,0,0,5,5,0,0,0,4,5,1,0,0,0,3,15,0,0,0,0,0,16
Arlington County PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police ,,,48,0,0,1,0,1,2,2,0,0,1,2,1,2,1,0,0,3,25,0,0,0,0,0,11
Chesterfield County PD ,252200,6259.32,15786,9,52,47,120,150,250,3880,70,2,1270,6880,728,193,222,153,11,3269,1065,13,8,1,11,0,299
State Police ,,,264,0,0,1,3,1,30,34,0,1,1,9,2,5,7,0,0,14,137,0,0,0,0,0,54
Fairfax County PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police ,,,421,0,0,0,0,0,9,10,0,0,0,15,12,20,29,6,2,38,247,0,4,0,0,0,42
Henrico County PD ,249200,8130.81,20262,13,69,46,32,242,341,3569,98,2,1577,9916,785,324,313,7,40,4038,1417,4,3,1,14,0,227
State Police ,,,203,0,0,0,0,0,3,1,0,0,1,6,4,8,2,0,0,11,126,0,0,0,0,0,51
James City County PD ,46100,5392.63,2486,0,24,15,30,28,64,570,9,0,119,950,63,24,53,25,16,596,77,0,1,0,0,0,41
State Police ,,,19,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,14,0,0,0,0,0,2
Prince George County PD ,29800,3003.35,895,1,0,3,15,2,16,156,7,1,72,391,39,7,12,2,3,223,59,1,1,0,0,0,18
State Police ,,,47,0,0,0,0,0,2,5,0,0,0,4,2,2,1,0,2,2,26,0,0,0,0,0,3
Prince William County PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police ,,,254,0,0,0,1,0,2,3,0,0,4,20,6,5,6,2,1,14,160,0,3,0,0,1,45
Roanoke County PD ,76540,2163.57,1656,1,8,9,28,9,87,498,4,0,144,650,55,92,142,10,1,234,153,0,2,0,0,0,33
State Police ,,,33,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,14,0,0,0,0,0,15
