Location,Total
Air/Bus/Train Terminal,30
Bank/Savings & Loan,9
Bar/Night Club,31
Church/Synagogue/Temple,19
Commercial/Office Building,268
Construction Site,40
Convenience Store,95
Department/Discount Store,40
Drug Store/Dr Office/Hospital,18
Field/Woods,56
Government/Public Building,15
Grocery/Supermarket,25
Highway/Road/Alley,1262
Hotel/Motel/Etc.,96
Jail/Penitentiary,1
Lake/Waterway,1
Liquor Store,2
Parking Lot/Garage,2150
Rental/Storage Facility,47
Residence/Home,3349
Restaurant,58
School/College,42
Service/Gas Station,128
Specialty Store,106
Other/Unknown,401
Total,8289
