Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Alcoholic Bev. Control,144,129,15,43
Ches. Bay Brdg. Tunnel PD,45,44,1,40
Div. of Capitol Police,75,70,5,11
Southside VA Trng Center,17,17,0,2
Richmond Int'l Airport,19,16,3,10
VA Port Authority,66,59,7,5
Norfolk Arpt Authority,25,20,5,7
Metro. Wash.Airport Auth.,158,143,15,40
Virginia State Police,1772,1714,58,623
OTHER AGENCY TOTAL,2321,2212,109,781
