Offenses,Number of Property Descriptions,Value Stolen
Bribery,3,"1,426"
Embezzlement,1367,"6,831,160"
Extortion/Blackmail,34,"40,746"
False Pretense/Swindle/Confidence Game,2972,"5,685,404"
Credit Card/ATM Fraud,1039,"443,776"
Impersonation,157,"11,460"
Welfare Fraud,25,"9,117"
Wire Fraud,45,"271,896"
Total Fraud,4238,"6,421,653"
Kidnaping/Abduction,81,54556
Pocket-Picking,236,"28,251"
Purse-Snatching,336,"32,221"
Shoplifting,11055,"1,149,678"
Theft From Building,21707,"9,329,302"
Theft From Coin-Operated Machine,661,"85,477"
Theft From Motor Vehicle,30402,"6,962,511"
Theft of Motor Vehicle Parts/Accessories,3789,"1,060,629"
All Other Larceny,57695,"34,237,121"
Total Larceny,125881,"52,885,190"
Motor Vehicle Theft,8315,"53,883,387"
Robbery,3609,"2,219,432"
Grand Total,143528,"$122,337,550"
$200 and Over,45143,"48,977,137"
$50 to $200,31082,"3,252,441"
Under $50,49656,"655,612"
Total Larceny/Theft,125881,"$52,885,190"
