TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Abingdon PD ,7690,5734.72,441,1,0,1,0,0,10,47,1,0,40,231,20,31,6,4,0,79,3,0,0,0,0,0,3
Altavista PD ,3570,6106.44,218,0,1,0,2,1,2,45,0,0,18,78,11,16,2,0,0,38,20,0,0,0,0,0,5
Amherst PD ,1100,10909.09,120,0,0,0,1,1,6,33,1,0,13,40,3,4,1,1,0,31,6,0,1,0,0,0,5
Appalachia PD ,1820,659.34,12,0,0,0,0,1,0,3,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0
Ashland PD ,5960,4664.42,278,1,0,1,2,0,3,30,1,0,14,145,5,8,8,0,0,82,17,0,0,0,0,0,3
Berryville PD ,3200,4593.75,147,0,0,0,0,0,4,26,1,0,10,54,7,5,0,0,1,34,11,1,0,0,0,0,5
Big Stone Gap PD ,4640,7543.1,350,0,0,3,1,2,13,78,1,0,17,158,11,20,2,0,1,61,9,0,0,0,0,0,8
Blacksburg PD ,34300,4139.94,1420,0,0,5,9,7,41,145,7,0,126,634,33,21,31,5,2,505,33,0,0,0,0,1,16
Blackstone PD ,3680,8179.34,301,0,0,4,4,2,4,73,2,0,13,135,1,8,5,1,2,65,13,0,0,0,0,0,2
Bluefield PD4 ,5000,7440,372,0,0,0,0,0,6,32,1,3,17,210,7,36,1,4,0,67,23,0,0,0,0,0,7
Bowling Green PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boykins PD ,640,156.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bridgewater PD ,4440,1306.3,58,0,0,1,1,0,0,1,0,0,3,19,1,10,0,0,1,19,4,0,0,0,0,0,2
Broadway PD ,1400,4142.85,58,0,0,0,0,0,1,11,0,0,4,23,1,1,0,0,0,19,3,0,0,0,0,0,0
Brookneal PD ,1280,1328.12,17,0,0,0,0,0,0,4,0,0,0,8,0,1,0,0,0,2,1,0,0,0,0,0,1
Burkeville PD ,510,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Charles PD ,1320,8712.12,115,0,0,0,2,1,4,24,1,0,9,39,2,2,1,0,0,16,16,0,0,0,0,0,10
Cedar Bluff PD 4 ,1340,1492.53,20,0,0,0,0,0,0,4,0,0,0,7,0,8,0,1,0,3,0,0,0,0,0,0,0
Chase City PD ,2370,7383.96,175,0,0,2,0,3,20,24,2,0,24,67,5,1,0,0,0,61,0,0,0,0,0,0,1
Chatham PD ,1290,1240.31,16,0,0,0,0,0,0,1,0,0,0,12,0,0,1,0,0,2,0,0,0,0,0,0,0
Chilhowie PD ,2050,1365.85,28,0,0,0,0,0,5,5,0,0,1,10,1,0,0,0,0,6,1,0,0,0,0,0,2
