Classification,Number of Offenses
Pocket-Picking,114
Purse-Snatching,145
Shoplifting,9922
Theft From Building,13509
Theft From Coin-Operated Machine,623
Theft From Motor Vehicles,19264
Theft of Motor Vehicle Parts & Accessories,3827
All Other Larceny,43069
Total,90473
