COUNTY TOTAL,7528,6707,821,1831
OTHER AGENCY TOTAL,2321,2212,109,781
CITY TOTAL,5460,4886,574,1386
COLLEGE AND UNIVERSITY TOTAL,479,400,79,214
STATE TOTAL,15788,14205,1583,4212
