Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,73,18,13,10,30,36,35,37,34,22,32,35,45
Tuesday,59,15,8,12,25,28,25,40,37,32,31,27,49
Wednesday,53,17,7,12,31,28,26,46,36,22,21,39,37
Thursday,56,16,9,14,18,20,28,40,49,25,36,34,47
Friday,91,19,11,12,30,24,26,40,43,39,45,54,63
Saturday,50,43,21,15,23,17,27,27,34,27,32,49,34
Sunday,52,43,21,10,20,19,27,20,24,26,36,36,46
TOTAL,434,171,90,85,177,172,194,250,257,193,233,274,321
