Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unknown
Monday,12,12,7,7,5,3,10,13,16,11,11,16,7
Tuesday,15,12,2,3,9,6,7,15,11,10,20,12,9
Wednesday,13,11,3,2,12,3,7,6,15,8,14,16,5
Thursday,23,6,1,8,5,1,7,13,23,16,17,8,4
Friday,14,11,5,9,8,7,8,14,11,10,11,14,8
Saturday,17,9,10,8,3,8,8,9,19,15,18,20,4
Sunday,15,16,11,8,2,6,15,10,18,10,15,8,2
Total,109,77,39,45,44,34,62,80,113,80,106,94,39
