Type Security of Structure,Number
Alarm/Audio,528
Alarm/Silent,180
Bars/Grate,60
Camera,81
Dog,100
Dead Bolt,1094
Locked,5949
Unlocked,943
Exterior Lights,284
Interior Lights,111
Fence,95
Guard,41
Neighborhood Watch,14
Other,142
None,2141
