Offenses,Total,White,Black,American Indian or Alaskan Native,Asian or Pacific Islander
Murder/Nonnegligent Manslaughter ,134,65,69,,
Negligent Manslaughter ,9,6,3,,
Kidnapping ,293,146,141,,6
Forcible Rape ,340,188,151,,1
Forcible Sodomy ,130,88,42,,
Sexual Assault with an Object ,82,58,22,1,1
Forcible Fondling ,398,283,112,3,
Robbery ,760,204,552,,4
Aggravated Assault ,3965,2317,1633,3,12
Simple Assault ,21239,12953,8144,25,117
Intimidation ,1033,711,317,2,3
Arson ,269,209,58,1,1
Extortion/Blackmail ,28,20,8,,
Burglary/Breaking & Entering ,3159,2063,1078,4,14
Pocket-picking ,211,111,100,,
Purse-snatching ,25,11,14,,
Shoplifting ,6561,3522,2950,10,79
Theft from Building ,690,438,249,,3
Theft from Coin-Operated Machine or Device ,53,32,21,,
Theft from Motor Vehicle ,588,368,215,1,4
Theft of Motor Vehicle Parts or Accessories ,115,77,35,1,2
All Other Larceny ,5903,3464,2373,10,56
Motor Vehicle Theft ,1791,907,866,4,14
Counterfeiting/Forgery ,1937,1246,681,1,9
False Pretenses/Swindle/Confidence Game ,1199,882,310,,7
Credit Card/Automatic Teller Machine Fraud ,214,128,72,1,13
Impersonation ,77,43,34,,
Welfare Fraud ,40,17,23,,
Wire Fraud ,1,1,,,
Embezzlement ,644,357,279,2,6
Stolen Property Offenses ,514,232,279,1,2
DestructionDamage/Vandalism of Property ,3409,2496,894,2,17
Drug/Narcotic Violations ,13864,7801,5881,4,178
Drug Equipment Violations ,152,116,34,1,1
Incest ,4,3,1,,
Statutory Rape ,70,46,24,,
Pornography/Obscene Material ,20,14,6,,
Betting/Wagering ,12,4,8,,
Operating/Promoting/Assisting Gambling ,5,3,2,,
Gambling Equipment Violations ,7,1,5,,
Sports Tampering ,,,,,
Prostitution ,128,56,71,,1
Assisting or Promoting Prostitution ,29,15,12,,2
Bribery ,11,8,3,,
Weapon Law Violations ,2722,1499,1207,7,9
Total,72835,43209,28979,84,563
