Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unknown
Monday,239,67,56,41,73,102,96,124,172,164,238,197,65
Tuesday,212,77,31,42,86,90,91,139,135,172,231,199,74
Wednesday,219,80,28,31,76,82,96,138,156,168,194,246,69
Thursday,223,78,40,41,65,66,103,134,129,146,216,230,74
Friday,311,121,53,53,89,96,83,141,149,198,284,353,93
Saturday,343,213,97,58,70,84,110,113,160,195,233,310,83
Sunday,346,246,84,45,52,74,117,100,134,179,232,251,79
Total,1893,882,389,311,511,594,696,889,1035,1222,1628,1786,537
