Days of Week/Number of Offenses,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Bribery,0,3,2,5,0,1,2
Counterfeiting/Forgery,746,707,733,760,895,604,458
Destruction/Vandalism,6734,6370,6262,6381,7876,7842,6993
Embezzlement,199,165,180,170,229,159,106
Extortion,,,,,,,
Fraud,728,687,613,674,718,593,384
Stolen Property,107,93,101,89,105,100,89
