Offenses,Under 10,10--12,13--14,15,16,17,Total
Murder/Nonnegligent Manslaughter,0,0,4,3,2,2,11
Negligent Manslaughter,0,0,0,0,0,0,0
Kidnaping/Abduction,0,1,4,1,6,4,16
Forcible Rape,2,0,11,8,7,12,40
Forcible Sodomy,4,10,22,7,2,4,49
Sexual Assault with an Object,0,4,3,4,2,2,15
Forcible Fondling,3,11,33,22,14,18,101
Robbery,1,10,35,26,43,52,167
Aggravated Assault,5,34,109,89,101,117,455
Simple Assault,43,396,868,538,562,508,2915
Intimidation,1,35,82,42,38,47,245
Arson,23,39,43,15,21,8,149
Extortion/Blackmail,0,3,4,5,3,1,16
Burglary/Breaking & Entering,23,90,296,198,184,218,1009
Pocket Picking,0,1,5,5,5,13,29
Purse Snatching,0,0,2,0,1,3,6
Shoplifting,12,177,539,363,412,421,1924
Theft from Building,1,19,59,37,35,44,195
Theft from Coin-Operated Device,1,1,6,4,4,1,17
Theft from Motor Vehicle,0,14,39,52,29,58,192
Theft of Motor Vehicle Parts,0,0,4,7,6,17,34
All Other Larceny,21,170,490,271,328,363,1643
Motor Vehicle Theft,2,33,164,163,168,178,708
Counterfeiting/Forgery,0,1,24,31,32,53,141
False Pretenses/Swindle/Confidence Game,0,0,1,4,3,11,19
Credit Card/Teller Machine Fraud,0,0,7,4,3,6,20
Impersonation,0,0,0,0,1,1,2
Welfare Fraud,0,0,0,0,0,0,0
Wire Fraud,0,0,0,0,0,0,0
Embezzlement,0,0,2,3,26,27,58
Stolen Property Offenses,0,9,54,24,27,38,152
Destruction/Damage/Vandalism,47,125,419,184,302,309,1386
Drug/Narcotic Violations,1,24,169,275,510,737,1716
Drug Equipment Violations,0,0,6,2,5,13,26
Incest,0,0,1,0,0,0,1
Statutory Rape,0,0,1,1,2,2,6
Pornography/Obscene Material,0,0,1,1,1,1,4
Betting/Wagering,0,0,0,0,0,1,1
Operating/Promoting/Assisting Gambling,0,0,0,0,0,0,0
Gambling Equipment Violations,0,0,0,0,0,0,0
Sports Tampering,0,0,0,0,0,0,0
Prostitution,0,0,0,0,0,0,0
Assisting or Promoting Prostitution,0,0,0,0,0,0,0
Bribery,0,0,0,0,0,0,0
Weapon Law Violations,3,49,116,60,111,123,462
Total Group A Arrests,193,1256,3623,2449,2996,3413,13930
Bad Checks,0,0,0,1,2,16,19
Curfew/Loitering/Vagrancy Violations,5,67,299,271,314,266,1222
Disorderly Conduct,2,28,162,123,159,167,641
Driving Under the Influence,1,3,7,10,81,221,323
Drunkenness,2,4,34,38,54,118,250
"Family Offenses, Nonviolent",2,2,2,3,3,1,13
Liquor Law Violations,0,10,126,232,406,683,1457
Peeping Tom,0,0,0,1,4,0,5
Runaway,14,146,630,523,608,396,2317
Trespass of Real Property,2,45,174,146,201,264,832
Conspiracy to Commit Group A Offense,0,0,0,0,3,5,8
Conspiracy to Commit Group B Offense,0,0,0,0,0,0,0
All Other Offenses,39,217,1027,964,2026,2618,6891
Total Group B Arrests,67,522,2461,2312,3861,4755,13978
