COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Accomack County SO ,26930,4470.85,1204,2,3,6,23,27,31,285,1,0,141,446,74,36,5,5,0,285,1,0,0,0,0,0,56
State Police ,,,204,0,0,0,0,1,0,0,0,0,4,14,4,6,5,0,0,2,166,0,0,0,0,0,7
Alleghany County SO ,12100,2809.91,340,0,1,2,2,0,12,103,1,0,17,97,8,5,5,2,0,122,6,0,0,0,0,0,6
State Police ,,,43,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,32,0,0,0,0,0,5
Amelia County SO ,10600,2641.5,280,0,3,2,8,1,8,101,1,0,20,83,3,2,0,0,0,74,21,2,1,0,0,0,9
State Police ,,,41,0,0,0,0,0,1,18,0,0,1,11,2,2,1,0,0,1,5,0,1,0,0,0,6
Amherst County SO ,29300,2764.5,810,1,0,6,12,4,8,133,3,0,30,339,22,24,3,10,3,205,81,0,0,0,0,0,13
State Police ,,,48,0,1,1,0,0,1,2,0,0,1,4,6,1,0,0,0,8,18,0,0,0,0,0,8
Appomattox County SO ,13400,1917.91,257,0,0,2,1,2,4,49,3,0,13,119,8,3,5,1,0,54,10,0,0,0,0,0,4
State Police ,,,24,0,0,1,0,0,0,3,0,0,1,5,1,0,1,0,0,1,7,0,0,0,0,0,5
Augusta County SO ,62400,3317.3,2070,0,3,6,43,1,37,453,12,1,203,923,49,89,19,9,3,585,46,0,0,0,0,0,22
State Police ,,,121,0,0,0,0,1,1,12,3,0,5,26,16,0,2,0,1,19,30,0,0,0,0,0,17
Bath County SO ,5000,600,30,0,0,1,0,0,2,2,0,0,8,13,2,0,0,0,0,13,0,0,0,0,0,0,0
State Police ,,,9,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Bedford County SO ,57500,2892.17,1663,0,3,7,14,7,36,398,7,1,177,611,26,14,25,2,0,483,116,0,2,0,1,0,45
State Police ,,,46,0,0,1,0,0,0,5,0,0,1,7,1,0,3,0,0,6,20,0,0,0,0,0,4
Bland County SO ,6900,1463.76,101,0,0,0,0,1,1,5,0,0,33,61,1,1,0,0,0,33,3,0,0,0,0,0,1
State Police ,,,78,0,0,0,1,0,3,2,0,0,1,9,2,1,1,1,0,7,54,0,0,0,0,0,4
Botetourt County SO ,29500,2352.54,694,0,0,5,17,5,28,132,3,0,53,261,20,56,6,2,3,137,58,3,0,0,1,1,14
State Police ,,,53,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,4,39,0,0,0,0,0,6
Brunswick County SO ,16770,1347.64,226,0,1,0,1,5,8,37,1,0,41,109,2,1,0,1,1,41,17,0,0,0,0,0,2
State Police ,,,27,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,23,0,0,0,0,0,1
Buchanan County SO ,27230,2824.09,769,0,5,4,6,3,42,302,7,0,116,278,29,23,3,5,6,96,26,0,0,0,0,0,47
State Police ,,,178,0,2,1,3,0,6,18,3,0,15,61,2,40,6,0,0,24,50,0,0,0,0,1,5
Buckingham County SO ,14800,364.86,54,0,0,0,0,1,3,7,0,0,14,24,0,0,0,0,0,17,1,0,0,0,0,0,0
State Police ,,,31,0,0,0,0,0,0,1,0,0,1,5,10,0,0,0,0,1,14,0,0,0,0,0,2
Campbell County SO ,44950,4682.98,2105,2,13,9,27,6,52,795,10,1,175,618,50,54,24,0,2,435,83,5,0,0,0,1,32
State Police ,,,68,1,0,0,1,0,1,5,0,0,1,12,8,2,1,0,1,8,26,0,0,0,0,0,5
Caroline County SO ,21000,2590.47,544,1,5,11,13,6,32,213,0,1,71,156,10,5,2,2,0,105,8,0,0,0,0,0,21
State Police ,,,112,0,1,0,0,0,1,6,0,0,4,25,29,3,1,0,0,18,38,0,0,0,0,0,9
Carroll County SO ,26030,4110.64,1070,1,10,3,8,10,29,278,4,0,109,301,29,14,170,0,13,262,61,2,0,0,0,0,27
State Police ,,,69,0,0,0,0,1,0,3,0,0,2,14,2,1,0,0,0,3,37,0,0,0,0,0,10
Charles City County SO ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police ,,,13,0,0,1,0,0,1,6,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1
Charlotte County SO ,12900,3860.46,498,2,0,1,10,4,24,222,1,0,48,140,13,2,4,0,0,89,16,0,0,0,0,0,23
State Police ,,,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1
Clarke County SO ,9500,2294.73,218,1,0,2,1,15,2,22,2,0,0,90,8,3,1,0,0,83,7,0,0,0,0,0,3
State Police ,,,36,0,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0,2,25,0,0,0,0,0,4
Craig County SO ,5000,2760,138,0,0,0,0,0,2,38,0,0,17,23,3,4,3,0,0,13,24,0,0,0,0,0,15
State Police ,,,15,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,9,0,0,0,0,0,2
Culpeper County SO ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police ,,,138,0,0,0,1,0,2,4,0,0,3,8,3,1,0,1,0,2,109,0,0,0,0,0,10
Cumberland County SO ,8400,2857.14,240,1,4,1,2,0,12,88,0,1,31,72,9,4,0,0,2,38,19,0,1,1,0,0,8
State Police ,,,13,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,6,0,0,0,0,0,3
Dickenson County SO ,14610,61.6,9,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,1
State Police ,,,26,0,0,1,1,0,2,2,1,0,1,7,1,0,0,1,1,3,6,0,0,0,0,0,4
Dinwiddie County SO ,25010,3978.4,995,0,0,2,5,9,27,131,2,0,81,490,35,24,18,4,4,142,102,1,0,0,0,0,8
State Police ,,,66,0,0,0,0,0,2,4,0,0,2,13,5,5,1,0,0,10,20,0,0,0,0,0,9
Essex County SO,7550,2821.19,213,0,3,4,2,2,13,52,0,0,21,57,10,3,1,0,0,55,10,0,0,0,0,0,12
State Police,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6
Fauquier County SO,48000,3687.5,1770,3,9,14,23,4,33,434,8,0,135,550,46,43,26,3,3,594,55,0,1,0,1,0,42
State Police,,,151,0,0,0,0,0,0,5,0,0,1,15,2,3,0,0,1,6,93,0,0,0,0,0,32
Floyd County SO,13300,2285.71,304,0,1,2,3,0,1,6,3,0,55,125,9,3,5,0,2,130,5,2,0,0,0,0,10
State Police,,,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Fluvanna County SO,19600,1423.46,279,0,0,1,2,0,6,42,1,0,6,118,18,12,5,1,0,72,0,1,0,0,0,0,1
State Police,,,17,0,0,0,0,0,0,6,0,0,0,3,1,1,0,0,0,1,3,0,0,0,0,0,4
Franklin County SO,41560,2858.51,1188,2,4,4,14,6,42,153,3,0,132,569,36,30,25,1,10,379,47,0,0,0,0,0,5
State Police,,,34,1,0,0,1,0,1,0,0,0,1,3,0,0,4,0,0,2,14,0,0,0,0,0,7
Frederick County SO,54460,4594.19,2502,2,6,12,41,5,31,724,11,0,242,983,88,43,13,5,5,689,137,5,0,0,0,0,52
State Police,,,124,0,0,0,0,0,2,2,0,0,1,11,2,2,1,0,2,4,86,0,0,0,0,0,15
Giles County SO,10610,2959.47,314,1,2,0,8,0,17,91,3,1,7,84,4,3,4,0,0,73,56,2,0,0,1,1,7
State Police,,,38,0,0,0,0,0,1,2,0,0,0,7,0,0,2,1,1,7,14,0,1,0,0,0,7
Gloucester County SO,34500,4805.79,1658,1,9,14,14,7,33,568,19,2,114,550,55,24,19,10,5,368,108,0,0,0,1,1,52
State Police,,,95,0,0,0,0,0,0,2,0,0,0,4,2,1,0,0,1,5,71,0,0,0,0,0,10
