Type of Property,Burned,Counterfeited/Forged,Destroyed/Damaged/Vandalized,Recovered,Seized,Stolen
Aircraft,,,"12,150","1,717",,"43,089"
Alcohol,,,8,"5,317",,"65,965"
Automobiles,"12,000",,"3,052","28,349,135",,"45,128,280"
Bicycles,,,100,"138,018",,"964,145"
Buses,,,,"29,000",,"42,042"
Clothing/Furs,,,50,"225,296",,"1,352,920"
Computer Hardware/Software,,,410,"210,101",,"3,317,545"
Consumable Goods,,,,"76,832",,"543,520"
Credit/Debit Cards,,,,,,
Drugs/Narcotics,,,,"3,465",,"98,572"
Drug/Narcotic Equipment,,,,982,,"3,352"
Farm Equipment,,,,"189,130",,"651,440"
Firearms,,,,"179,915",,"1,657,910"
Gambling Equipment,,,,104,,"2,510"
Heavy Construction/Industrial Equipment,,,,"192,822",,"1,586,530"
Household Goods,,,"10,872","139,788",,"2,324,677"
Jewelry/Precious Metals,,,,"706,293",,"8,589,936"
Livestock,,,,"21,928",,"179,637"
Merchandise,,,500,"310,755",,"1,492,254"
Money,,100,,"315,951",,"8,040,949"
Negotiable Instruments,,"3,450",,"136,487",581,"3,847,725"
Nonnegotiable Instruments,,,,,,
Office-type Equipment,,,"1,850","29,474",,"629,893"
Other Motor Vehicles,,,250,"1,039,310",,"2,895,686"
Purses/Handbags/Wallets,,,,"28,521",,"310,451"
Radios/TVs/VCRs,,,"1,616","359,662",,"5,398,880"
Recordings-Audio/Visual,,,"1,585","99,715",,"2,203,508"
Recreational Vehicles,,,,"208,799",,"535,139"
Structures-Single Occupancy,2,,850,,,
Structures-Other Dwellings,,,,,,
Structures-Other Commercial/Business,,,400,,,
Structures-Industrial/ Manufacturing,,,,,,
Structures-Public/Community,,,75,,,
Structures-Storage,,,,,,"2,951"
Structures-Other,,,,,,"56,550"
Tools,,,"6,622","537,914",,"7,230,584"
Trucks,,,,"3,268,295",,"5,681,515"
Vehicle Part/Accessories,,,"40,090","168,348",,"4,515,325"
Watercraft,,,,"43,793",,"400,401"
Other,500,3824,"43,742","1,217,346",1,"12,543,669"
Total,"$12,502*","$7,374","$124,222","$38,234,213",$582,"$122,337,550"
