Race,Male 0 - 18,Male 19 - 35,Male 36+,Female 0 - 18,Female 19 - 35,Female 36+
White,2778,2515,1482,200,490,279
Black,2792,2625,1038,277,582,210
Am. Ind./Alskn,2,1,5,0,1,0
Asian/Pacfc Isl.,21,26,14,0,4,0
Unknown,158,35,12,17,6,4
TOTAL,4362,5202,2551,494,1083,493
