CRIME TYPE ,2007,2008,Change,% Change
Destruction/Vandalism ,"1,774","1,893",119,6.70%
Prostitution ,21,22,1,4.80%
Drug/Narcotic Offenses ,494,450,-44,-8.90%
Gambling ,15,13,-2,-13.30%
Disorderly Conduct ,207,191,-16,-7.70%
Driving Under the Influence ,574,506,-68,-11.80%
Drunkenness ,960,982,22,2.30%
Liquor Law Violations ,563,550,-13,-2.30%
Total ,"4,608","4,607",-1,0.00%
