K-9 Unit Statistics,Total
Felony Arrests and Assist,209
Misdemeanor Arrest and Summonses,126
Commercial Buildings Searched,516
Residential Searches Conducted,756
Criminal Tracks Conducted,388
Citizen Demonstrations Conducted,54
