Gang Suppression Unit Stats,2009 Total
Total Arrests,310
Total Charges,475
Felony Arrests,226
Misdemeanor Arrests,84
Investigations,179
Adult Gang Members Arrests,52
Juvenile Gang Members Arrests,12
Grams of Cocaine Recovered,257 Grams
Grams of Heroin Recovered,18 Grams
Grams of Ecstasy Recovered,19 Grams
"Weapons Recovered (Handguns, Rifles and Knifes)",58
Gang Awareness Presentations / Training,74
Field Interview Cards,423
Special Details,18
Management Intelligence Analyst Data Entries,643
