Total Crime Distribution 2009,Total,Percentage
Larceny,10383,71%
Stolen Vehicle,919,6%
Arson,46,0%
Murder,41,0%
Forcible Rape,83,1%
Robbery,608,4%
Aggravated Assault,795,5%
Burglary,1870,13%
