Arrests by Offense,Galax,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",2,1
Robbery,0,0
Aggravated Assault,13,0
Simple Assault/Intimidation,65,4
Arson,0,0
Extortion/Blackmail,0,0
Burglary,8,1
Larceny,60,11
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,10,0
Fraud,12,0
Embezzlement,0,0
Stolen Property,2,0
Vandalism,2,4
Drug/Narcotic Offenses,76,5
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,6,1
TOTAL GROUP A,259,27
Bad Checks,61,2
Curfew/Loitering/Vagrancy,0,2
Disorderly Conduct,16,1
Driving Under Influence,92,0
Drunkenness,143,4
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,12,4
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,19,0
Conspiracy,0,0
All Other (except Traffic),42,1
TOTAL GROUP B,387,14
GRAND TOTAL,646,41
