Arrests by Offense,Mecklenburg,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",4,4
Robbery,2,1
Aggravated Assault,40,7
Simple Assault/Intimidation,136,39
Arson,1,0
Extortion/Blackmail,0,0
Burglary,10,5
Larceny,54,12
Motor Vehicle Theft,4,3
Counterfeiting/Forgery,23,0
Fraud,5,0
Embezzlement,4,0
Stolen Property,9,1
Vandalism,10,5
Drug/Narcotic Offenses,127,8
"Sex Offenses, Nonforcible",1,2
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,17,4
TOTAL GROUP A,450,91
Bad Checks,56,1
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,12,22
Driving Under Influence,157,0
Drunkenness,80,1
"Family Offenses, Nonforcible",8,1
Liquor Laws Violations,15,2
Peeping Tom,1,0
Runaway,0,4
Trespass of Real Property,9,6
Conspiracy,1,2
All Other (except Traffic),149,12
TOTAL GROUP B,488,51
GRAND TOTAL,938,142
