Arrests by Offense,Virginia Beach,
,Adult,Juvenile
Murder,18,4
Manslaughter,0,0
Kidnaping,38,0
"Sex Offenses, Forcible",66,18
Robbery,85,61
Aggravated Assault,97,20
Simple Assault/Intimidation,2200,643
Arson,18,15
Extortion/Blackmail,0,8
Burglary,162,92
Larceny,963,461
Motor Vehicle Theft,72,26
Counterfeiting/Forgery,99,5
Fraud,157,2
Embezzlement,110,4
Stolen Property,32,12
Vandalism,181,133
Drug/Narcotic Offenses,1757,244
"Sex Offenses, Nonforcible",12,1
Pornography,9,0
Gambling,0,0
Prostitution,42,0
Bribery,0,0
Weapon Law Violations,287,118
TOTAL GROUP A,6405,1867
Bad Checks,206,0
Curfew/Loitering/Vagrancy,46,832
Disorderly Conduct,812,216
Driving Under Influence,1904,9
Drunkenness,3141,31
"Family Offenses, Nonforcible",40,0
Liquor Laws Violations,738,244
Peeping Tom,5,0
Runaway,0,1
Trespass of Real Property,505,115
Conspiracy,1,0
All Other (except Traffic),8280,659
TOTAL GROUP B,15678,2107
GRAND TOTAL,22083,3974
