Arrests by Offense,Buckingham ,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",2,0
Robbery,1,0
Aggravated Assault,5,0
Simple Assault/Intimidation,113,1
Arson,0,0
Extortion/Blackmail,0,0
Burglary,4,0
Larceny,11,0
Motor Vehicle Theft,13,0
Counterfeiting/Forgery,2,0
Fraud,5,0
Embezzlement,0,0
Stolen Property,2,0
Vandalism,15,2
Drug/Narcotic Offenses,52,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,0
TOTAL GROUP A,235,4
Bad Checks,36,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,6,0
Driving Under Influence,80,4
Drunkenness,12,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,3,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,26,0
Conspiracy,0,0
All Other (except Traffic),203,1
TOTAL GROUP B,366,6
GRAND TOTAL,601,10
