Arrests by Offense,Wise,
,Adult,Juvenile
Murder,2,1
Manslaughter,0,0
Kidnaping,8,0
"Sex Offenses, Forcible",4,2
Robbery,1,0
Aggravated Assault,34,2
Simple Assault/Intimidation,375,23
Arson,6,0
Extortion/Blackmail,0,0
Burglary,26,11
Larceny,184,13
Motor Vehicle Theft,11,0
Counterfeiting/Forgery,15,0
Fraud,12,0
Embezzlement,5,0
Stolen Property,11,3
Vandalism,51,4
Drug/Narcotic Offenses,110,18
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,26,4
TOTAL GROUP A,883,81
Bad Checks,85,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,28,14
Driving Under Influence,281,1
Drunkenness,548,2
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,50,4
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,63,0
Conspiracy,4,0
All Other (except Traffic),952,19
TOTAL GROUP B,2013,40
GRAND TOTAL,2896,121
