Arrests by Offense,Warren,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",4,0
Robbery,4,0
Aggravated Assault,9,0
Simple Assault/Intimidation,163,6
Arson,0,0
Extortion/Blackmail,0,0
Burglary,11,1
Larceny,54,2
Motor Vehicle Theft,6,1
Counterfeiting/Forgery,8,0
Fraud,3,0
Embezzlement,2,0
Stolen Property,3,0
Vandalism,17,0
Drug/Narcotic Offenses,120,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,0
TOTAL GROUP A,414,12
Bad Checks,40,0
Curfew/Loitering/Vagrancy,0,6
Disorderly Conduct,14,1
Driving Under Influence,179,1
Drunkenness,286,7
"Family Offenses, Nonforcible",27,1
Liquor Laws Violations,22,8
Peeping Tom,0,0
Runaway,0,32
Trespass of Real Property,44,1
Conspiracy,5,0
All Other (except Traffic),471,28
TOTAL GROUP B,188,85
GRAND TOTAL,1502,97
