Arrests by Offense,Brunswick ,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",4,0
Robbery,1,0
Aggravated Assault,18,0
Simple Assault/Intimidation,38,6
Arson,1,0
Extortion/Blackmail,0,0
Burglary,8,4
Larceny,11,3
Motor Vehicle Theft,2,1
Counterfeiting/Forgery,4,0
Fraud,0,0
Embezzlement,0,0
Stolen Property,1,0
Vandalism,10,1
Drug/Narcotic Offenses,47,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,6,1
TOTAL GROUP A,154,20
Bad Checks,13,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,9,0
Driving Under Influence,129,2
Drunkenness,45,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,8,3
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,9,2
Conspiracy,0,0
All Other (except Traffic),190,10
TOTAL GROUP B,404,17
GRAND TOTAL,558,37
