Arrests by Offense,Frederick,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,8,4
"Sex Offenses, Forcible",9,2
Robbery,5,0
Aggravated Assault,16,2
Simple Assault/Intimidation,238,38
Arson,0,0
Extortion/Blackmail,0,0
Burglary,38,14
Larceny,89,28
Motor Vehicle Theft,2,3
Counterfeiting/Forgery,10,0
Fraud,22,1
Embezzlement,4,0
Stolen Property,6,1
Vandalism,23,23
Drug/Narcotic Offenses,146,18
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,16,1
TOTAL GROUP A,635,135
Bad Checks,96,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,8,2
Driving Under Influence,143,0
Drunkenness,23,2
"Family Offenses, Nonforcible",5,0
Liquor Laws Violations,353,30
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,25,10
Conspiracy,0,0
All Other (except Traffic),768,66
TOTAL GROUP B,1421,110
GRAND TOTAL,2056,245
