2011-2012 Comparison Numbers,Total
Total Calls for Service 2011,4631
Total Calls for Service 2012,4780
Traffic Offenses -12%,
Traffic Offenses 2011,816
Traffic Offenses 2012,718
Rockbridge Sheriff's Department Direct Assistance Calls for Service 2011,37
Rockbridge Sheriff's Department Direct Assistance Calls for Service 2012,61
