Offenses,Under 10,10--12,13--14,15,16,17,Total
Murder/Nonnegligent Manslaughter,0,0,1,4,6,9,20
Negligent Manslaughter,0,0,0,0,0,0,0
Kidnaping/Abduction,0,0,6,7,11,11,35
Forcible Rape,0,5,17,14,10,15,61
Forcible Sodomy,8,14,27,4,4,6,63
Sexual Assault with an Object,0,4,10,1,3,0,18
Forcible Fondling,4,37,61,25,17,14,158
Robbery,1,4,34,55,79,97,270
Aggravated Assault,7,48,122,115,140,163,595
Simple Assault,65,586,1356,828,859,774,4468
Intimidation,4,39,94,54,53,44,288
Arson,32,44,54,26,24,24,204
Extortion/Blackmail,0,3,3,4,2,1,13
Burglary/Breaking & Entering,6,75,252,196,215,249,993
Pocket Picking,1,6,12,9,12,14,54
Purse Snatching,1,0,0,2,3,1,7
Shoplifting,30,223,602,411,497,500,2263
Theft from Building,2,20,44,36,33,28,163
Theft from Coin-Operated Device,0,0,2,0,1,4,7
Theft from Motor Vehicle,0,8,32,34,31,90,195
Theft of Motor Vehicle Parts,0,0,2,3,3,10,18
All Other Larceny,21,169,487,359,423,487,1946
Motor Vehicle Theft,0,12,115,115,149,106,497
Counterfeiting/Forgery,0,2,19,11,29,39,100
False Pretenses/Swindle/Confidence Game,0,0,7,10,13,28,58
Credit Card/Teller Machine Fraud,0,2,3,12,10,7,34
Impersonation,0,0,1,4,10,8,23
Welfare Fraud,0,0,0,0,0,0,0
Wire Fraud,0,0,0,0,0,0,0
