Day/Time,00:00-03:59,04:00-07:59,08:00-11:59,12:00-15:59,16:00-19:59,20:00-23:59,Unk
Monday,6181,4305,9170,9407,11444,9468,1270
Tuesday,6202,4092,8507,9353,11666,9308,1196
Wednesday,5615,4005,8607,9235,11269,9542,1194
Thursday,6063,3849,8094,8709,11368,9604,1147
Friday,6959,3972,9227,10314,13935,11025,1388
Saturday,8011,3059,7654,9710,10838,11053,1168
Sunday,7911,2843,6291,8248,9381,8856,980
