Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,79,57,19,11,38,59,51,77,75,128,170,142,4
Tuesday,110,63,38,21,28,58,58,60,87,97,165,162,0
Wednesday,87,65,29,26,34,50,59,74,66,91,150,159,7
Thursday,104,77,25,18,30,51,49,56,70,104,166,182,2
Friday,109,59,29,27,47,53,61,78,97,110,166,199,4
Saturday,166,131,59,38,34,37,67,58,81,97,160,213,4
Sunday,159,98,56,31,23,30,50,52,82,90,168,148,6
TOTAL,814,550,255,172,234,338,395,455,558,717,1145,1205,27
