Days of Week/Number of Offenses,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Bribery,4,4,3,2,3,1,1
Counterfeiting/Forgery,1305,1343,1255,1175,1399,910,728
Destruction/Vandalism,12940,12362,12024,12304,15354,15336,13512
Embezzlement,427,450,388,389,444,356,249
Extortion,14,7,12,12,17,6,8
Fraud,2102,2045,2006,1916,2252,1593,1092
Stolen Property,190,181,173,176,200,183,151
Total,16982,16392,15861,15974,19669,18385,15741
