Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Cities,,,,
Alexandria PD,292,244,48,134
Bedford PD,21,21,0,2
Bristol PD,57,50,7,20
Buena Vista PD,13,12,1,1
Charlottesville PD,111,101,10,30
Chesapeake PD,353,296,57,108
Clifton Forge PD,11,10,1,4
Colonial Heights PD,49,41,8,4
Covington PD,15,14,1,13
Danville PD,133,119,14,7
Emporia PD,21,20,1,9
Fairfax PD,59,53,6,18
Falls Church PD,29,23,6,9
Franklin PD,32,30,2,12
Fredericksburg PD,56,50,6,25
Galax PD,24,22,2,14
Hampton PD,254,212,42,98
Harrisonburg PD,70,63,7,20
Hopewell PD,49,46,3,15
Lexington PD,16,16,0,2
Lynchburg PD,153,146,7,40
Manassas PD,85,74,11,23
Manassas Park PD,21,19,2,9
Martinsville PD,53,49,4,6
Newport News PD,384,334,50,138
Norfolk PD,760,681,79,127
Norton PD,16,16,0,6
Petersburg PD,115,106,9,39
Poquoson PD,20,18,2,5
Portsmouth PD,213,191,22,112
Radford PD,32,28,4,13
Richmond PD,632,540,92,175
Roanoke PD,231,213,18,57
Salem PD,63,60,3,25
South Boston PD,27,26,1,4
Staunton PD,49,43,6,16
Suffolk PD,139,127,12,44
Virginia Beach PD,758,672,86,164
Waynesboro PD,50,45,5,7
Williamsburg PD,36,30,6,13
Winchester PD,64,59,5,12
CITY TOTAL,5566,4920,646,1580
