Offenses,Under 10,10--12,13--14,15,16,17,Total
Embezzlement,1,1,1,8,12,34,57
Stolen Property Offenses,1,11,23,29,38,44,146
Destruction/Damage/Vandalism,42,134,302,198,288,287,1251
Drug/Narcotic Violations,3,28,343,456,751,1118,2699
Drug Equipment Violations,0,0,6,4,7,7,24
Incest,0,0,2,0,1,0,3
Statutory Rape,0,0,1,2,1,13,17
Pornography/Obscene Material,0,0,1,2,2,0,5
Betting/Wagering,0,0,0,0,2,1,3
Operating/Promoting/Assisting Gambling,0,0,0,0,0,0,0
Gambling Equipment Violations,0,0,0,0,0,0,0
Sports Tampering,0,0,0,0,0,0,0
Prostitution,0,0,0,1,2,0,3
Assisting or Promoting Prostitution,0,0,0,1,0,0,1
Bribery,0,0,0,0,0,0,0
Weapon Law Violations,8,44,121,93,119,146,531
Total Group A Arrests,237,1519,4163,3133,3860,4379,17291
Bad Checks,0,0,0,1,2,11,14
Curfew/Loitering/Vagrancy Violations,3,68,487,455,698,803,2514
Disorderly Conduct,4,101,332,325,314,266,1342
Driving Under the Influence,1,0,12,12,68,175,268
Drunkenness,1,4,34,43,83,128,293
"Family Offenses, Nonviolent",0,5,4,4,4,4,21
Liquor Law Violations,1,18,209,291,556,842,1917
Peeping Tom,0,0,1,3,0,1,5
Runaway,12,195,885,922,1037,892,3943
Trespass of Real Property,13,61,212,189,276,300,1051
Conspiracy to Commit Group A Offense,0,0,0,1,1,5,7
Conspiracy to Commit Group B Offense,0,0,0,0,0,0,0
All Other Offenses,46,289,1327,1367,1835,1886,6750
Total Group B Arrests,81,741,3503,3613,4874,5313,18125
