Age,Number,Percent Distribution
Under 10,318,0.11
10--12,2260,0.78
13--14,7666,2.65
15,6746,2.34
16,8734,3.02
17,9692,3.36
18,13318,4.61
19,15278,5.29
20,14269,4.94
21,13374,4.63
22,12257,4.24
23,10604,3.67
24,9601,3.33
25--29,36060,12.49
30--34,32894,11.39
35--39,32592,11.28
40--44,28083,9.72
45--49,16742,5.8
50--54,9164,3.17
55--59,4561,1.58
60--64,2259,0.78
65 & Over,2338,0.81
TOTAL,288810,100
