Colleges and Universities,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Christopher Newport University PD,,,181,0,0,2,0,0,1,7,1,0,1,99,2,0,1,0,1,54,10,0,0,0,0,0,2
Emory & Henry Campus Police,,,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferrum College Police,,,75,0,0,1,0,0,2,6,0,0,5,43,0,0,0,0,0,14,3,0,1,0,0,0,2
George Mason University PD,,,539,0,1,0,1,1,1,44,2,0,16,318,13,4,8,3,3,90,81,0,0,0,0,0,4
Hampton University PD,,,166,0,0,0,0,1,2,22,0,0,27,97,4,0,10,2,1,25,7,0,1,0,0,0,6
James Madison University PD,,,333,0,0,3,1,0,3,17,4,0,16,175,0,5,11,2,2,76,65,0,3,1,0,0,6
Longwood College PD,,,91,0,0,0,0,0,2,7,0,0,0,47,0,0,0,0,0,32,3,0,0,0,0,0,0
Mary Washington College PD ,,,154,0,0,0,0,0,0,2,1,0,0,65,0,0,0,0,2,98,0,0,0,0,0,0,0
Norfolk State University PD,,,355,0,0,1,5,8,0,29,7,0,61,206,16,3,4,1,0,79,7,0,0,0,0,0,5
N. Virginia Comm College PD,,,245,0,0,0,0,1,1,12,0,0,1,174,4,4,1,0,0,60,1,0,0,0,0,0,0
Old Dominion Campus PD,,,244,0,0,0,1,1,1,10,0,0,5,132,3,4,3,0,4,102,6,0,0,0,0,0,2
Radford University PD,,,284,0,0,1,0,0,6,47,3,0,7,121,1,2,8,0,3,71,37,0,0,0,0,0,2
Thomas Nelson Comm Col PD,,,34,0,0,0,0,0,0,1,0,0,0,25,0,2,3,0,0,4,0,0,1,0,0,0,0
University of Richmond PD,,,267,0,0,3,0,0,2,16,8,0,16,114,2,2,8,0,1,128,13,0,0,0,0,0,0
University of Virginia PD,,,514,0,2,2,2,2,15,43,6,1,8,312,9,2,11,2,1,100,38,0,1,0,0,0,3
UVA's College at Wise PD,,,5,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
VA Commonwealth University PD,,,899,0,0,1,0,5,20,86,3,0,11,578,6,13,17,4,3,29,152,0,0,0,0,0,23
Virginia Tech Police Department0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA Western Comm. College PD,,,14,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0
VMI Post Police,,,21,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0
Virginia State Univ. Police,,,221,0,0,2,2,4,2,38,0,0,3,115,2,0,0,0,0,51,12,0,0,0,0,0,3
William & Mary College PD,,,396,0,0,0,0,2,5,31,3,0,9,232,4,1,3,0,0,106,15,0,1,0,0,0,2
"0–11 For those agencies without full year submission, footnote represents number of months of data submitted ",,,,,,,,,,,,,,,,,,,,,,,,,,,
i Incomplete totals,,,,,,,,,,,,,,,,,,,,,,,,,,,
