Arrests by Offense,College/University,,Other Agency,,Total Other,,Total State,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,0,0,0,0,241,20
Manslaughter,0,0,0,0,0,0,4,0
Kidnaping,5,0,0,0,5,0,679,35
"Sex Offenses, Forcible",1,0,0,0,1,0,1197,300
Robbery,1,0,1,0,2,0,1216,270
Aggravated Assault,8,0,35,0,43,0,4143,595
Simple Assault/Intimidation,58,4,54,0,112,4,30886,4756
Arson,1,0,0,0,1,0,185,204
Extortion/Blackmail,0,0,0,0,0,0,16,13
Burglary,14,0,1,0,15,0,3025,993
Larceny,54,8,32,0,86,8,16155,4653
Motor Vehicle Theft,4,2,26,1,30,3,1061,497
Counterfeiting/Forgery,14,0,34,2,48,2,3027,100
Fraud,9,0,47,2,56,2,2334,115
Embezzlement,2,0,3,0,5,0,1193,57
Stolen Property,4,0,6,0,10,0,808,146
Vandalism,24,0,10,0,34,0,3082,1251
Drug/Narcotic Offenses,241,12,143,19,384,31,22761,2723
"Sex Offenses, Nonforcible",0,0,0,0,0,0,118,20
Pornography,0,0,0,0,0,0,49,5
Gambling,0,0,3,0,3,0,27,3
Prostitution,0,0,0,0,0,0,519,4
Bribery,0,0,0,0,0,0,4,0
Weapon Law Violations,16,0,53,2,69,2,2883,531
TOTAL GROUP A,456,26,448,26,904,52,95613,17291
Bad Checks,4,0,4,0,8,0,7657,14
Curfew/Loitering/Vagrancy,0,0,0,0,0,0,99,2514
Disorderly Conduct,49,0,22,0,71,0,5332,1342
Driving Under Influence,330,4,185,0,515,4,23966,268
Drunkenness,466,3,114,0,580,3,24886,293
"Family Offenses, Nonforcible",1,0,6,0,7,0,1013,21
Liquor Laws Violations,340,20,1657,89,1997,109,8931,1917
Peeping Tom,3,0,0,0,3,0,79,5
Runaway,0,0,0,0,0,0,0,3943
Trespass of Real Property,111,4,29,1,140,5,7720,1051
Conspiracy,3,1,0,0,3,1,85,7
All Other (except Traffic),421,8,514,33,935,41,78013,6750
TOTAL GROUP B,1728,40,2531,123,4259,163,157781,18125
GRAND TOTAL,2184,66,2979,149,5163,215,253394,35416
