Type Security of Structure,Number
Alarm/Audio,1367
Alarm/Silent,334
Bars/Grate,99
Camera,290
Dog,175
Dead Bolt,1882
Locked,10589
Unlocked,2006
Exterior Lights,402
Interior Lights,145
Fence,229
Guard,97
Neighborhood Watch,25
Other,201
None,2986
