Group B Offense Categories,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Bad Checks,7671,5360,2289,3,19
Curfew/Loitering/Vagrancy Violations,2613,1521,1058,1,33
Disorderly Conduct,6674,3350,3270,2,52
Driving Under the Influence,24234,19351,4620,25,238
Drunkenness,25179,18678,6378,31,92
"Family Offenses, Nonviolent",1034,438,585,1,10
Liquor Law Violations,10848,7949,2678,11,210
Peeping Tom,84,56,25,0,3
Runaway,3943,2096,1799,5,43
Trespass of Real Property,8771,3733,4990,7,41
Conspiracy to Commit Group A Offense,81,52,28,0,1
Conspiracy to Commit Group B Offense,11,8,3,0,0
All Other Offenses,84763,47259,36916,42,546
Total Group B Arrests,175906,109851,64639,128,1288
