Month,Stolen,Recovered,% Recovered
JAN,"23,023,373","7,097,837",30.8
FEB,"23,206,085","6,390,312",27.5
MAR,"24,148,572","8,576,525",35.5
APR,"22,724,763","7,481,945",32.9
MAY,"24,530,885","7,447,527",30.4
JUN,"24,481,088","7,805,963",31.9
JUL,"25,316,251","8,106,501",32
AUG,"26,199,412","8,148,594",31.1
SEP,"23,221,972","7,214,249",31.1
OCT,"27,244,511","6,860,467",25.2
NOV,"21,168,026","6,657,169",31.4
DEC,"25,372,317","6,128,236",24.2
TOTAL,"$290,637,255","$87,915,325",30.2
