Violent Crime Where Offender(s) Suspected of Using By Offense,,,
Suspected of Using,Alcohol,Computer Equipment,Drugs
Murder/Non-Negligent Manslaughter,22,0,10
Negligent Manslaughter,1307,3,171
Aggravated Assault,234,1,74
Forcible Rape,29,0,12
Forcible Sodomy,22,0,5
Sexual Assault with an Object,98,5,19
Forcible Fondling,180,5,79
Robbery,1892,14,370
Total,3784,28,740
