Location,Total
Air/Bus/Train Terminal,52
Bank/Savings &Loan,5
Bar/Night Club,43
Church/Synagogue/Temple,36
Commercial/Office Building,325
Construction Site,40
Convenience Store,150
Department/Discount Store,40
Drug Store/Dr Office/Hospital,27
Field/Woods,68
Government/Public Building,32
Grocery/Supermarket,56
Highway/Road/Alley,4310
Hotel/Motel/Etc.,173
Jail/Penitentiary,4
Lake/Waterway,12
Liquor Store,7
Parking Lot/Garage,5599
Rental/Storage Facility,73
Residence/Home,5592
Restaurant,79
School/College,119
Service/Gas Station,267
Specialty Store,230
Other/Unknown,1049
TOTAL,18388
