Point of Entry/Exit During Motor Vehicle Theft,Entry,Exit
Front,281,194
Rear,60,27
Side,182,70
Attic,2,1
Vent/AC,1,0
Window,141,26
Door,546,340
Patio/Sliding Dr,2,4
Balcony/Fire Escape,1,0
Attached Garage,16,12
Wall,2,1
Vehicle,226,112
Floor,0,0
Roof/Skylight,3,1
Hidden Within,0,0
Other,70,58
Unknown,766,414
