Arrests by Offense,Henrico,
,Adult,Juvenile
Murder,17,2
Manslaughter,0,0
Kidnaping,6,1
"Sex Offenses, Forcible",11,5
Robbery,93,23
Aggravated Assault,143,45
Simple Assault/Intimidation,"1,172",310
Arson,5,20
Extortion/Blackmail,1,0
Burglary,158,89
Larceny,"1,280",444
Motor Vehicle Theft,37,47
Counterfeiting/Forgery,84,2
Fraud,113,2
Embezzlement,34,1
Stolen Property,29,11
Vandalism,83,84
Drug/Narcotic Offenses,987,169
"Sex Offenses, Nonforcible",4,2
Pornography,1,0
Gambling,,0
Prostitution,10,0
Bribery,1,0
Weapon Law Violations,134,48
TOTAL GROUP A,"4,403",1305
Bad Checks,38,0
Curfew/Loitering/Vagrancy,3,76
Disorderly Conduct,126,208
Driving Under Influence,1058,4
Drunkenness,934,4
"Family Offenses, Nonforcible",31,1
Liquor Laws Violations,160,79
Peeping Tom,2,0
Runaway,0,496
Trespass of Real Property,248,48
Conspiracy,10,2
All Other (except Traffic),3146,189
TOTAL GROUP B,5756,1107
GRAND TOTAL,10159,2412
