Arrests by Offense,Russell,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,5,0
"Sex Offenses, Forcible",9,1
Robbery,7,0
Aggravated Assault,37,0
Simple Assault/Intimidation,268,1
Arson,3,0
Extortion/Blackmail,0,0
Burglary,20,
Larceny,122,12
Motor Vehicle Theft,6,0
Counterfeiting/Forgery,28,1
Fraud,14,0
Embezzlement,2,0
Stolen Property,2,1
Vandalism,29,2
Drug/Narcotic Offenses,40,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,6,0
TOTAL GROUP A,599,18
Bad Checks,59,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,10,
Driving Under Influence,64,0
Drunkenness,132,0
"Family Offenses, Nonforcible",9,
Liquor Laws Violations,5,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,19,0
Conspiracy,5,0
All Other (except Traffic),440,19
TOTAL GROUP B,743,20
GRAND TOTAL,1342,38
