Arrests by Offense,Tazewell,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,5,0
"Sex Offenses, Forcible",11,0
Robbery,5,1
Aggravated Assault,29,2
Simple Assault/Intimidation,136,14
Arson,0,1
Extortion/Blackmail,0,0
Burglary,63,6
Larceny,270,62
Motor Vehicle Theft,16,2
Counterfeiting/Forgery,72,4
Fraud,64,0
Embezzlement,1,0
Stolen Property,1,0
Vandalism,31,123
Drug/Narcotic Offenses,261,11
"Sex Offenses, Nonforcible",3,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,27,1
TOTAL GROUP A,997,227
Bad Checks,1,0
Curfew/Loitering/Vagrancy,2,0
Disorderly Conduct,8,3
Driving Under Influence,180,4
Drunkenness,243,4
"Family Offenses, Nonforcible",4,
Liquor Laws Violations,27,7
Peeping Tom,1,0
Runaway,0,2
Trespass of Real Property,41,2
Conspiracy,0,1
All Other (except Traffic),218,27
TOTAL GROUP B,725,50
GRAND TOTAL,1722,277
