Arrests by Offense,Alexandria,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",5,1
Robbery,30,10
Aggravated Assault,60,15
Simple Assault/Intimidation,387,73
Arson,0,2
Extortion/Blackmail,2,2
Burglary,31,13
Larceny,242,84
Motor Vehicle Theft,10,4
Counterfeiting/Forgery,14,0
Fraud,59,3
Embezzlement,27,2
Stolen Property,5,2
Vandalism,40,29
Drug/Narcotic Offenses,124,9
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,40,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,12,8
TOTAL GROUP A,"1,090",257
Bad Checks,23,0
Curfew/Loitering/Vagrancy,40,0
Disorderly Conduct,122,
Driving Under Influence,335,2
Drunkenness,875,2
"Family Offenses, Nonforcible",8,
Liquor Laws Violations,712,63
Peeping Tom,0,0
Runaway,0,8
Trespass of Real Property,203,17
Conspiracy,0,0
All Other (except Traffic),454,55
TOTAL GROUP B,2772,147
GRAND TOTAL,3862,404
