Arrests by Offense,Campbell ,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",6,1
Robbery,1,0
Aggravated Assault,15,4
Simple Assault/Intimidation,276,15
Arson,0,0
Extortion/Blackmail,0,0
Burglary,10,
Larceny,48,8
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,2,0
Fraud,21,0
Embezzlement,1,0
Stolen Property,1,0
Vandalism,19,2
Drug/Narcotic Offenses,84,6
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,16,1
TOTAL GROUP A,510,37
Bad Checks,74,0
Curfew/Loitering/Vagrancy,,1
Disorderly Conduct,7,
Driving Under Influence,118,2
Drunkenness,52,0
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,8,11
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,23,1
Conspiracy,0,0
All Other (except Traffic),354,5
TOTAL GROUP B,637,21
GRAND TOTAL,1147,58
