Arrests by Offense,Fauquier,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,7,3
"Sex Offenses, Forcible",15,3
Robbery,4,1
Aggravated Assault,25,1
Simple Assault/Intimidation,179,25
Arson,1,2
Extortion/Blackmail,0,0
Burglary,16,10
Larceny,46,47
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,20,0
Fraud,10,0
Embezzlement,15,0
Stolen Property,9,0
Vandalism,27,7
Drug/Narcotic Offenses,179,17
"Sex Offenses, Nonforcible",3,1
Pornography,0,0
Gambling,,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,23,4
TOTAL GROUP A,580,121
Bad Checks,104,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,12,8
Driving Under Influence,208,3
Drunkenness,201,2
"Family Offenses, Nonforcible",3,
Liquor Laws Violations,23,13
Peeping Tom,0,0
Runaway,0,8
Trespass of Real Property,20,0
Conspiracy,0,0
All Other (except Traffic),506,9
TOTAL GROUP B,1077,43
GRAND TOTAL,1657,164
